Parent id number,Id number,Shortname,Description,Description format,Scale values,Scale configuration,Rule type,Rule outcome,Rule config,Cross referenced competency id numbers,Exported id,Is framework,Taxonomy
,2017,All GOTAFE units (2017),,1,,"[{""scaleid"":""2""},{""id"":1,""scaledefault"":1,""proficient"":1}]",,,,,,1,
,ACMACR402A (2017),ACMACR402A: Assess and impound animals (2017),,1,,,,,,2017,,,
,ACMACR403A (2017),ACMACR403A: Identify and respond to animal behaviour (2017),,1,,,,,,2017,,,
,ACMACR406A (2017),ACMACR406A: Carry out pound procedures (2017),,1,,,,,,2017,,,
,ACMACR407A (2017),ACMACR407A: Conduct community awareness programs (2017),,1,,,,,,2017,,,
,ACMACR409A (2017),ACMACR409A: Prepare and present animal control and regulation case (2017),,1,,,,,,2017,,,
,ACMATE303A (2017),ACMATE303A: Prepare for and monitor anaesthesia in animals (2017),,1,,,,,,2017,,,
,ACMCAS301A (2017),ACMCAS301A: Work effectively in the companion animal industry (2017),,1,,,,,,2017,,,
,ACMCAS302A (2017),ACMCAS302A: Provide advice on companion animal selection and general care (2017),,1,,,,,,2017,,,
,ACMCAS304A (2017),ACMCAS304A: Capture handle and transport companion animals (2017),,1,,,,,,2017,,,
,ACMCAS306A (2017),ACMCAS306A: Provide grooming services for companion animal comfort (2017),,1,,,,,,2017,,,
,ACMCAS307A (2017),ACMCAS307A: Provide companion animal hydrobathing services (2017),,1,,,,,,2017,,,
,ACMCAS401A (2017),ACMCAS401A: Manage compliance in the companion animal industry (2017),,1,,,,,,2017,,,
,ACMCAS407A (2017),ACMCAS407A: Provide professional companion animal grooming services (2017),,1,,,,,,2017,,,
,ACMCAS408A (2017),ACMCAS408A: Manage the operation of a mobile hydro-bathing facility (2017),,1,,,,,,2017,,,
,ACMEQD401A (2017),ACMEQD401A: Work within an equine dental service provision framework (2017),,1,,,,,,2017,,,
,ACMEQD402A (2017),ACMEQD402A: Determine equine oral function efficiency (2017),,1,,,,,,2017,,,
,ACMEQD403A (2017),ACMEQD403A: Identify potential health impacts of equine oral conditions (2017),,1,,,,,,2017,,,
,ACMEQD404A (2017),ACMEQD404A: Conduct equine oral inspection and assessment and plan equine dental treatment (2017),,1,,,,,,2017,,,
,ACMEQD405A (2017),ACMEQD405A: Perform routine dental correction and oral care using manual instruments (2017),,1,,,,,,2017,,,
,ACMEQU401A (2017),ACMEQU401A: Relate equine anatomical and physiological features to equine health care requir (2017),,1,,,,,,2017,,,
,ACMEQU402A (2017),ACMEQU402A: Determine nutritional needs in provision of horse health care (2017),,1,,,,,,2017,,,
