username,course1,role1
jarnold,"52689WA: Certificate IV in Preparation for Nursing Education Course Home (Nursing, #6393 ID17)",3
cfreeman,"52689WA: Certificate IV in Preparation for Nursing Education Course Home (Nursing, #6393 ID17)",3
hkeighery,"52689WA: Certificate IV in Preparation for Nursing Education Course Home (Nursing, #6393 ID17)",4
bgriffiths,"52689WA: Certificate IV in Preparation for Nursing Education Course Home (Nursing, #6393 ID17)",4
rmccallum,"10229NAT: Certificate III in Horse Industry Practice Course Home (NCEE, #6394 ID17)",3
ksantiana,"10229NAT: Certificate III in Horse Industry Practice Course Home (NCEE, #6394 ID17)",3
rmccallum,"AHC51516: Diploma of Viticulture Course Home (Wine, #6395 ID17)",3
ksantiana,"AHC51516: Diploma of Viticulture Course Home (Wine, #6395 ID17)",3
rmccallum,"10018NAT: Diploma of Wine Technology Course Home (Wine, #6396 ID17)",3
ksantiana,"10018NAT: Diploma of Wine Technology Course Home (Wine, #6396 ID17)",3
bturton,"FDF50311: Diploma in Food Science and Technology (Level 3) Course Home (NCDE Food Pro, #6397 ID17)",3
chiggs,"FDF50311: Diploma in Food Science and Technology (Level 3) Course Home (NCDE Food Pro, #6397 ID17)",3
mrobinson,"FDF50311: Diploma in Food Science and Technology (Level 3) Course Home (NCDE Food Pro, #6397 ID17)",3
bturton,"FDF50311: Diploma in Food Science and Technology (Level 2) Course Home (NCDE Food Pro, #6398 ID17)",3
chiggs,"FDF50311: Diploma in Food Science and Technology (Level 2) Course Home (NCDE Food Pro, #6398 ID17)",3
mrobinson,"FDF50311: Diploma in Food Science and Technology (Level 2) Course Home (NCDE Food Pro, #6398 ID17)",3
 bturton,"FDF40311: Certificate IV in Food Science and Technology (Level 1) Course Home (NCDE Food Pro, #6399 ID17)",3
 chiggs,"FDF40311: Certificate IV in Food Science and Technology (Level 1) Course Home (NCDE Food Pro, #6399 ID17)",3
 mrobinson,"FDF40311: Certificate IV in Food Science and Technology (Level 1) Course Home (NCDE Food Pro, #6399 ID17)",3
jhowe,"ACM30410: Certificate III in Companion Animal Services Course Home (AnSci-Industry, #6400 ID17)",3
lsanderson,"ACM30410: Certificate III in Companion Animal Services Course Home (AnSci-Industry, #6400 ID17)",3
csutcliffe,"ACM30410: Certificate III in Companion Animal Services Course Home (AnSci-Industry, #6400 ID17)",4
shsmith,"ACM30410: Certificate III in Companion Animal Services Course Home (AnSci-Industry, #6400 ID17)",4
niskov,"ACM30410: Certificate III in Companion Animal Services Course Home (AnSci-Industry, #6400 ID17)",4
cfreeman,"CHC30113: Certificate III in Early Childhood Education and Care Course Home (ChildServ, #6401 ID17)",3
pagraham,"CHC30113: Certificate III in Early Childhood Education and Care Course Home (ChildServ, #6401 ID17)",4
pjafer,"CHC30113: Certificate III in Early Childhood Education and Care Course Home (ChildServ, #6401 ID17)",4
rclaughton,"CHC33015: Certificate III in Individual Support (CommServ - Aged Care, #6402 ID17)",3
cconrick,"CHC33015: Certificate III in Individual Support (CommServ - Aged Care, #6402 ID17)",3
