shortname,rename,fullname
"52689WA: Certificate IV in Preparation for Nursing Education Course Home (Nursing, #XXXX ID17)","52689WA: Certificate IV in Preparation for Nursing Education Course Home (Nursing, #6393 ID17)","52689WA: Certificate IV in Preparation for Nursing Education Course Home (Nursing, #6393 ID17)"
"10229NAT: Certificate III in Horse Industry Practice Course Home (NCEE, #XXXX ID17)","10229NAT: Certificate III in Horse Industry Practice Course Home (NCEE, #6394 ID17)","10229NAT: Certificate III in Horse Industry Practice Course Home (NCEE, #6394 ID17)"
"AHC51516: Diploma of Viticulture Course Home (Wine, #XXXX ID17)","AHC51516: Diploma of Viticulture Course Home (Wine, #6395 ID17)","AHC51516: Diploma of Viticulture Course Home (Wine, #6395 ID17)"
"10018NAT: Diploma of Wine Technology Course Home (Wine, #XXXX ID17)","10018NAT: Diploma of Wine Technology Course Home (Wine, #6396 ID17)","10018NAT: Diploma of Wine Technology Course Home (Wine, #6396 ID17)"
"FDF50311: Diploma in Food Science and Technology (Level 3) Course Home (NCDE Food Pro, #XXXX ID17)","FDF50311: Diploma in Food Science and Technology (Level 3) Course Home (NCDE Food Pro, #6397 ID17)","FDF50311: Diploma in Food Science and Technology (Level 3) Course Home (NCDE Food Pro, #6397 ID17)"
"FDF50311: Diploma in Food Science and Technology (Level 2) Course Home (NCDE Food Pro, #XXXX ID17)","FDF50311: Diploma in Food Science and Technology (Level 2) Course Home (NCDE Food Pro, #6398 ID17)","FDF50311: Diploma in Food Science and Technology (Level 2) Course Home (NCDE Food Pro, #6398 ID17)"
"FDF40311: Certificate IV in Food Science and Technology (Level 1) Course Home (NCDE Food Pro, #XXXX ID17)","FDF40311: Certificate IV in Food Science and Technology (Level 1) Course Home (NCDE Food Pro, #6399 ID17)","FDF40311: Certificate IV in Food Science and Technology (Level 1) Course Home (NCDE Food Pro, #6399 ID17)"
"ACM30410: Certificate III in Companion Animal Services Course Home (AnSci-Industry, #XXXX ID17)","ACM30410: Certificate III in Companion Animal Services Course Home (AnSci-Industry, #6400 ID17)","ACM30410: Certificate III in Companion Animal Services Course Home (AnSci-Industry, #6400 ID17)"
"CHC30113: Certificate III in Early Childhood Education and Care Course Home (ChildServ, #XXXX ID17)","CHC30113: Certificate III in Early Childhood Education and Care Course Home (ChildServ, #6401 ID17)","CHC30113: Certificate III in Early Childhood Education and Care Course Home (ChildServ, #6401 ID17)"
"CHC33015 - Certificate III in Individual Support (CommServ - Aged Care, #XXXX ID17)","CHC33015: Certificate III in Individual Support (CommServ - Aged Care, #6402 ID17)","CHC33015: Certificate III in Individual Support (CommServ - Aged Care, #6402 ID17)"
