course1,username,role1
"SISCCRD302A | SISXCCS201A | SISXFAC207 | SISXRES301A: Recreation management cluster (Sport, ID17)",ccampbell,3
"CHCYTH301E | SISXCAI001 | SISXCAI003 | SISXCAI006: Coaching Cluster (Sport, ID17)",ccampbell,3
"SIS31015: Certificate III in Aquatics and Community Recreation Course Home (Sport, #XXXX ID17)",ccampbell,3
"BSBWOR301 | CHCCDE002 | SISFFIT011 | SISXCAI007 | SISXIND001:  Sport Industry Cluster (Sport, ID17)",ccampbell,3
"BSBRSK401 | HLTAID003 | SISXEMR001: Sport Law Cluster (Sport, ID17)",ccampbell,3
"SISCCRD302A | SISXCCS201A | SISXFAC207 | SISXRES301A: Recreation management cluster (Sport, ID17)",lpurcell,3
"CHCYTH301E | SISXCAI001 | SISXCAI003 | SISXCAI006: Coaching Cluster (Sport, ID17)",lpurcell,3
"SIS31015: Certificate III in Aquatics and Community Recreation Course Home (Sport, #XXXX ID17)",lpurcell,3
"BSBWOR301 | CHCCDE002 | SISFFIT011 | SISXCAI007 | SISXIND001:  Sport Industry Cluster (Sport, ID17)",lpurcell,3
"BSBRSK401 | HLTAID003 | SISXEMR001: Sport Law Cluster (Sport, ID17)",lpurcell,3
"SISCCRD302A | SISXCCS201A | SISXFAC207 | SISXRES301A: Recreation management cluster (Sport, ID17)",swohlers,3
"CHCYTH301E | SISXCAI001 | SISXCAI003 | SISXCAI006: Coaching Cluster (Sport, ID17)",swohlers,3
"SIS31015: Certificate III in Aquatics and Community Recreation Course Home (Sport, #XXXX ID17)",swohlers,3
"BSBWOR301 | CHCCDE002 | SISFFIT011 | SISXCAI007 | SISXIND001:  Sport Industry Cluster (Sport, ID17)",swohlers,3
"BSBRSK401 | HLTAID003 | SISXEMR001: Sport Law Cluster (Sport, ID17)",swohlers,3
