shortname,fullname,OLD NAME
"BSBWRK510: (NCDE, 2017)","BSBWRK510: Manage Employee Relations (Dairy, 2017)"," BSBWRK510: Manage Employee Relations (NCDE, 2017)"
"CPCCOHS2001A: (Plumbing, ID17)","CPCCOHS2001A: Apply OHS requirements, policies and procedures in the construction industry (Plumb, ID17)"," CPCCOHS2001A: Apply OHS requirements, policies and procedures in the construction industry (Plumbing, ID17)"
"10229NAT: (Performance Horse, #6286 2017)","10229NAT: Certificate III in Horse Industry Practice Course Home (NCEE, #6286 2017)","10229NAT: Certificate III in Horse Industry Practice Course Home (Performance Horse, #6286 2017)"
"22237VIC: (FirsTEP, #6232 2017)","22237VIC: Certificate II in General Education for Adults Home (LSU-FirsTEP, #6232 2017)","22237VIC: Certificate II in General Education for Adults Home (FirsTEP, #6232 2017)"
"22304VIC: (Plumbing, ID17)","22304VIC: Certificate II in Plumbing Pre-apprenticeship Course Home (Plumb, ID17)","22304VIC: Certificate II in Plumbing Pre-apprenticeship Course Home (Plumbing, ID17)"
ABC123: (ID17),"ABC123: GBIRD - Sandpit (Sandpit, ID17)",ABC123: GBIRD - Sandpit (ID17)
"ACM10110: (Tasmania Schools, ID17)","ACM10110: Certificate 1 in Animal Studies Course Home (AnSci-Tas-Schools, ID17)","ACM10110: Certificate 1 in Animal Studies Course Home (Tasmania Schools, ID17)"
"ACM10110|ACM20110: (VETiS Schools Year 1, ID17)","ACM10110|ACM20110: Certificate 1 and Certificate 2 in Animal Studies Course Home (AnSci-VETiS-Schools-Y1, ID17)","ACM10110|ACM20110: Certificate 1 and Certificate 2 in Animal Studies Course Home  (VETiS Schools Year 1, ID17)"
"ACM20110: (AnsSci-WSSC, #6266 2017)","ACM20110: Certificate II in Animal Studies Home (AnSci-WSSC, #6266 2017)","ACM20110: Certificate II in Animal Studies Home (AnsSci-WSSC, #6266 2017)"
"ACM20110: (VETiS Schools, #6267 2017)","ACM20110: Certificate II in Animal Studies Home (AnSci-VETiS-Schools, #6267 2017)","ACM20110: Certificate II in Animal Studies Home (VETiS Schools, #6267 2017)"
ACM30110: (Tasmania Schools),"ACM30110: Certificate III in Animal Studies Course Home (AnSci-Tasmania, 2017)",ACM30110: Certificate III in Animal Studies Course Home  (Tasmania Schools)
"ACM30612: (AniSci, #6383 2017)","ACM30612: Certificate III in Pet Grooming Home (AnSci, #6383 2017)","ACM30612: Certificate III in Pet Grooming Home (AniSci, #6383 2017)"
"ACMACR403A: (AnSci, Industry, 2017)","ACMACR403A: Identify and respond to animal behaviour (AnSci-Industry, 2017)","ACMACR403A: Identify and respond to animal behaviour (AnSci, Industry, 2017)"
"AHC30116: (NCDE, #6528 2017)","AHC30116: Certificate III in Agriculture Short Course Home (Dairy, #6528 2017)","AHC30116: Certificate III in Agriculture Short Course Home (NCDE, #6528 2017)"
"AHC30216: (NCDE, #6535 2017)","AHC30216: Certificate III in Agriculture Dairy Production Course Home (Dairy, #6535 2017)","AHC30216: Certificate III in Agriculture Dairy Production Course Home (NCDE, #6535 2017)"
"AHC30610: (Hydroponics, #6443 ID17)","AHC30610: Certificate III in Production Horticulture Course Home (Hydropon, #6443 ID17)","AHC30610: Certificate III in Production Horticulture Course Home (Hydroponics, #6443 ID17)"
"AHC30616: (Hydroponics, #6539 ID17)","AHC30616: Certificate III in Production Horticulture Course Home (Hydropon, #6539 ID17)","AHC30616: Certificate III in Production Horticulture Course Home (Hydroponics, #6539 ID17)"
"AHC50116: (NCDE, #6575 2017)","AHC50116: Diploma of Agriculture Home (Ag, #6575 2017)","AHC50116: Diploma of Agriculture Home (NCDE, #6575 2017)"
